# ----------------------------------------,,,,,,,,
# 1 Master View,,,,,,,,
# Rendimiento del producto,,,,,,,,
# 20190101-20191231,,,,,,,,
# ----------------------------------------,,,,,,,,
,,,,,,,,
Producto,Ingresos del producto,Compras únicas,Cantidad,Precio medio,Cantidad media,Importe de reembolso del producto,Porcentaje carrito/detalle,Porcentaje compra/detalle
Google Women's Discovery Lt. Rain Shell,"87,99 US$",1,1,"87,99 US$","1,00","0,00 US$","11,29 %","0,16 %"
I am Not a Robot Tee White,"87,99 US$",8,8,"11,00 US$","1,00","0,00 US$","9,21 %","0,23 %"
Google Light Pen Red,"86,71 US$",7,29,"2,99 US$","4,14","0,00 US$","33,62 %","1,53 %"
Google Pen Navy,"85,75 US$",24,49,"1,75 US$","2,04","0,00 US$","39,00 %","3,52 %"
Google Leather Strap Hat Red,"82,98 US$",4,5,"16,60 US$","1,25","0,00 US$","28,22 %","0,76 %"
Google Keychain,"80,00 US$",8,10,"8,00 US$","1,25","0,00 US$","2,45 %","4,91 %"
Google Dino Game Tee,"79,98 US$",2,2,"39,99 US$","1,00","0,00 US$","13,68 %","0,42 %"
Google Sherpa Vest Black,"79,00 US$",1,1,"79,00 US$","1,00","0,00 US$","1,60 %","0,53 %"
Google Tri Pen Black,"78,33 US$",5,7,"11,19 US$","1,40","0,00 US$","18,81 %","1,11 %"
Google Small Cable Organizer Blue,"77,74 US$",7,26,"2,99 US$","3,71","0,00 US$","18,33 %","0,86 %"
Android Dino Buddies Tee Green,"74,97 US$",3,3,"24,99 US$","1,00","0,00 US$","23,53 %","8,82 %"
Android Dino Buddies Tee Grey,"74,97 US$",3,3,"24,99 US$","1,00","0,00 US$","8,60 %","3,23 %"
Mind Blown Tee White,"74,78 US$",6,6,"12,46 US$","1,00","0,00 US$","8,07 %","0,45 %"
Android Sport Socks Summer 18,"69,95 US$",4,5,"13,99 US$","1,25","0,00 US$","14,74 %","0,48 %"
Google Bot,"69,95 US$",7,7,"9,99 US$","1,00","0,00 US$","21,71 %","0,78 %"
