SKU,Producto,Ingresos,ComprasUnicas,Cantidad,PrecioMedio,CantidadMedia,Reembolso,PorcentCarritoDetalle,PorcentCompraDetalle
GGOEGBJR100099,Google Mesh Bag Red,95.86,10.00,16,5.99,1.60,0.00 ,35.29 %,1.30 %
GGOEGAEC119317,Google Campus Bike Eco Tee Navy,94.97,3.00,4,23.74,1.33,0.00 ,0.00 %,0.00 %
GGOEYAEB091813,YouTube Tee Black,94.54,6.00,6,15.76,1.00,0.00 ,0.00 %,0.00 %
GGOEGAER110715,Google Shoreline Tonal Crew Maroon,93.48,2.00,2,46.74,1.00,0.00 ,0.00 %,0.00 %
GGOEGAEJ104015,Google Tudes Recycled Tee,92.97,3.00,3,30.99,1.00,0.00 ,0.00 %,0.00 %
GGOEGAEM104313,Google Tonal Tee Coral,90.17,7.00,7,12.88,1.00,0.00 ,0.00 %,0.00 %
GGOEAAEB091717,Android Tone Hoodie Black,90.00,5.00,5,18.00,1.00,0.00 ,0.00 %,0.00 %
GGOEGAYB113714,Google Youth FC Zip Hoodie,90.00,2.00,2,45.00,1.00,0.00 ,0.00 %,0.00 %
GGOEGAEB091112,Google Zip Hoodie Black,89.98,2.00,2,44.99,1.00,0.00 ,0.00 %,0.00 %
GGOEYAEB093813,YouTube Icon Pullover Black,89.98,2.00,2,44.99,1.00,0.00 ,0.00 %,0.00 %
GGOEGAPJ138617,Google Women's Tech Fleece Grey,89.00,1.00,1,89.00,1.00,0.00 ,0.00 %,0.00 %
GGOEGADJ108118,Google Men's Discovery Lt. Rain Shell,88.00,1.00,1,88.00,1.00,0.00 ,0.00 %,0.00 %
GGOEGADB107913,Google Men's Techie Fleece,87.99,1.00,1,87.99,1.00,0.00 ,0.00 %,0.00 %
GGOEGADB107917,Google Men's Techie Fleece,87.99,1.00,1,87.99,1.00,0.00 ,0.00 %,0.00 %
GGOEGADJ108114,Google Men's Discovery Lt. Rain Shell,87.99,1.00,1,87.99,1.00,0.00 ,0.00 %,0.00 %
GGOEGADJ108115,Google Men's Discovery Lt. Rain Shell,87.99,1.00,1,87.99,1.00,0.00 ,0.00 %,0.00 %
GGOEGAPJ108215,Google Women's Discovery Lt. Rain Shell,87.99,1.00,1,87.99,1.00,0.00 ,0.00 %,0.00 %
GGOEGALB109916,Google Women's Tee F/C Black,87.98,4.00,4,22.00,1.00,0.00 ,0.00 %,0.00 %
GGOEGAAB118916,Google Unisex Eco Tee Black,87.97,4.00,4,21.99,1.00,0.00 ,0.00 %,0.00 %
